image,objects_detected,label
data/train/images/2007_005331.jpg,"[[14, 0.9969466, 97, 81, 139, 219], [12, 0.6949985, 74, 142, 195, 314], [6, 0.9959251, 1, 90, 35, 46], [6, 0.98629576, 36, 98, 49, 39], [6, 0.99536204, 81, 91, 75, 46]]","[[12, 1, 71, 142, 220, 306], [14, 1, 101, 84, 144, 220], [6, 1, 84, 87, 77, 53], [6, 1, 34, 92, 48, 46], [6, 1, 1, 91, 39, 49]]"
data/train/images/2007_005759.jpg,"[[13, 0.89937323, 346, 178, 110, 68], [14, 0.9866189, 160, 154, 19, 37], [14, 0.9942457, 132, 161, 17, 39], [14, 0.771418, 160, 151, 28, 63], [14, 0.9978281, 189, 159, 20, 47], [14, 0.90205836, 206, 161, 16, 45], [14, 0.58811146, 131, 158, 28, 66], [13, 0.9964939, 130, 176, 76, 55], [13, 0.98760855, 50, 185, 65, 50], [13, 0.9941144, 224, 181, 76, 56]]","[[13, 1, 348, 180, 113, 65], [13, 1, 217, 180, 88, 59], [13, 1, 130, 183, 76, 49], [13, 1, 51, 184, 62, 50], [14, 1, 160, 153, 24, 39], [14, 1, 187, 155, 26, 59], [14, 1, 129, 157, 21, 39]]"
data/train/images/2007_005969.jpg,"[[14, 0.9999294, 39, 65, 316, 302], [17, 0.5033464, 22, 152, 427, 219]]","[[14, 1, 41, 59, 312, 316]]"
data/train/images/2007_005978.jpg,"[[5, 0.98887855, 5, 113, 205, 130]]","[[5, 1, 1, 117, 209, 123]]"
data/train/images/2007_006254.jpg,"[[18, 0.93755704, 11, 100, 376, 112]]","[[18, 1, 61, 102, 305, 105]]"
data/train/images/2007_006647.jpg,"[[13, 0.9981471, -59, 78, 602, 269], [14, 0.99766254, 284, 17, 135, 235], [14, 0.996242, 178, 42, 133, 279], [14, 0.84754306, 174, 68, 85, 209]]","[[14, 1, 179, 66, 93, 224], [14, 1, 172, 38, 145, 311], [14, 1, 276, 2, 150, 250], [13, 1, 1, 32, 497, 333]]"
data/train/images/2007_006802.jpg,"[[18, 0.9968243, 119, 26, 367, 311], [14, 0.99223226, 341, 92, 25, 25], [14, 0.7336544, 207, 91, 43, 80], [14, 0.97842944, 208, 86, 50, 149]]","[[18, 1, 131, 2, 368, 347], [14, 1, 344, 99, 22, 20], [14, 1, 209, 89, 49, 142]]"
data/train/images/2007_006808.jpg,"[[14, 0.9997234, 36, 4, 223, 380]]","[[14, 1, 33, 11, 233, 364]]"
data/train/images/2007_007211.jpg,"[[13, 0.99941415, 151, 172, 241, 196]]","[[13, 1, 153, 173, 241, 198]]"
data/train/images/2007_007480.jpg,"[[5, 0.99953395, 42, 7, 427, 301], [6, 0.5562744, 466, 149, 22, 19], [14, 0.9934902, 74, 98, 72, 158]]","[[5, 1, 95, 11, 373, 292], [14, 1, 82, 93, 57, 176]]"
data/train/images/2007_007621.jpg,"[[16, 0.9950349, 177, 109, 103, 105], [16, 0.99535733, 302, 98, 109, 106]]","[[16, 1, 301, 102, 110, 100], [16, 1, 175, 113, 110, 96]]"
data/train/images/2007_007698.jpg,"[[0, 0.9995248, 188, 139, 132, 70]]","[[0, 1, 185, 142, 142, 68]]"
data/train/images/2007_007815.jpg,"[[6, 0.9998764, 31, 50, 376, 235], [14, 0.9969281, 230, 41, 69, 85], [14, 0.997236, 139, 57, 59, 66]]","[[6, 1, 31, 45, 370, 241], [14, 1, 238, 44, 71, 82], [14, 1, 135, 55, 75, 75]]"
data/train/images/2007_007902.jpg,"[[14, 0.986911, 355, 0, 103, 117], [13, 0.96801776, 320, 38, 172, 115], [14, 0.99979824, 3, 36, 195, 201], [13, 0.9975157, -5, 76, 231, 234]]","[[13, 1, 320, 49, 166, 105], [13, 1, 1, 57, 231, 259], [14, 1, 367, 1, 91, 109], [14, 1, 1, 48, 188, 165]]"
data/train/images/2007_008204.jpg,"[[19, 0.99902, 322, 99, 170, 229], [14, 0.96135616, 136, 145, 128, 174], [15, 0.8952096, -1, 175, 26, 73], [4, 0.99817485, 201, 249, 43, 117]]","[[4, 1, 199, 247, 43, 120], [19, 1, 314, 114, 185, 215], [14, 1, 143, 145, 123, 191]]"
data/train/images/2007_008321.jpg,"[[14, 0.9992893, 14, 13, 301, 498]]","[[14, 1, 2, 28, 324, 472]]"
data/train/images/2007_008664.jpg,"[[14, 0.9998493, 68, 65, 246, 440]]","[[14, 1, 67, 72, 240, 426]]"
data/train/images/2007_008821.jpg,"[[17, 0.9998673, 27, 253, 487, 119], [15, 0.9953109, 177, 12, 78, 267], [6, 0.61171925, 98, 142, 41, 45], [8, 0.97614664, 82, 205, 101, 49], [15, 0.99555254, 223, 195, 85, 67]]","[[8, 1, 82, 209, 68, 43], [15, 1, 171, 34, 85, 225], [15, 1, 231, 200, 75, 66], [17, 1, 39, 250, 461, 124]]"
data/train/images/2007_009052.jpg,"[[6, 0.99990225, 212, 107, 251, 178], [14, 0.99748033, 334, 129, 33, 31]]","[[6, 1, 212, 110, 255, 174], [14, 1, 335, 131, 36, 35]]"
data/train/images/2007_009068.jpg,"[[14, 0.9956736, 279, 157, 156, 191], [14, 0.9879351, -4, 204, 271, 134], [8, 0.99888176, 153, 212, 135, 126], [14, 0.71927077, 359, 196, 135, 166], [17, 0.6147741, 5, 216, 274, 143], [17, 0.96656877, 327, 200, 175, 176], [15, 0.9477318, 319, 180, 47, 62], [8, 0.9781775, 53, 231, 23, 43], [8, 0.8109627, 3, 242, 57, 50]]","[[17, 1, 344, 205, 156, 170], [8, 1, 131, 217, 162, 120], [8, 1, 5, 232, 72, 67], [14, 1, 284, 160, 153, 175], [14, 1, 1, 205, 282, 139], [15, 1, 320, 181, 49, 59]]"
data/train/images/2007_009258.jpg,"[[14, 0.9999503, 48, 5, 271, 435], [1, 0.9997303, 42, 159, 279, 356]]","[[1, 1, 63, 175, 271, 325], [14, 1, 52, 1, 269, 469]]"
data/train/images/2007_009684.jpg,"[[14, 0.9997976, 83, 71, 304, 306], [17, 0.99644405, 159, 144, 343, 238], [8, 0.79777753, 1, 97, 29, 170]]","[[17, 1, 192, 148, 308, 227], [14, 1, 57, 64, 323, 311]]"
data/train/images/2007_009706.jpg,"[[10, 0.9979587, 104, 217, 384, 164]]","[[10, 1, 114, 223, 355, 152]]"
data/train/images/2007_009756.jpg,"[[13, 0.9944836, 120, 77, 292, 243], [14, 0.99800605, 195, 22, 195, 245]]","[[14, 1, 205, 24, 175, 263], [13, 1, 118, 82, 302, 234]]"
data/train/images/2007_009783.jpg,"[[14, 0.98092145, 182, 114, 129, 166]]","[[14, 1, 191, 119, 114, 177]]"
data/train/images/2007_009817.jpg,"[[2, 0.999289, 136, 139, 316, 231]]","[[2, 1, 149, 127, 299, 246]]"
data/train/images/2007_009938.jpg,"[[13, 0.998386, 128, 62, 190, 270], [6, 0.9990204, 237, 0, 88, 53]]","[[13, 1, 137, 55, 183, 285], [6, 1, 242, 1, 83, 51]]"
data/train/images/2008_000003.jpg,"[[18, 0.99785686, 34, 33, 454, 269], [14, 0.89634955, 65, 182, 19, 59]]","[[18, 1, 46, 11, 454, 322], [14, 1, 62, 190, 21, 53]]"
data/train/images/2008_000016.jpg,"[[19, 0.97905654, 94, 34, 293, 304]]","[[19, 1, 91, 15, 301, 338]]"
data/train/images/2008_000019.jpg,"[[11, 0.9770212, 327, 9, 148, 100], [11, 0.99927205, 146, -5, 211, 224], [11, 0.93965864, 173, 98, 150, 125], [11, 0.614079, 171, 162, 69, 66]]","[[11, 1, 139, 2, 233, 195], [11, 1, 165, 66, 153, 170], [11, 1, 361, 1, 119, 111]]"
data/train/images/2008_000053.jpg,"[[11, 0.9985397, 66, 18, 442, 355]]","[[11, 1, 54, 2, 446, 373]]"
data/train/images/2008_000059.jpg,"[[14, 0.9628133, 27, -5, 321, 450], [11, 0.99930334, 2, 98, 374, 376]]","[[14, 1, 24, 1, 277, 178], [11, 1, 1, 81, 374, 386]]"
data/train/images/2008_000084.jpg,"[[16, 0.9855732, 140, 215, 121, 82]]","[[16, 1, 141, 221, 120, 76]]"
data/train/images/2008_000095.jpg,"[[2, 0.9990308, 251, 160, 33, 107]]","[[2, 1, 251, 161, 36, 109]]"
data/train/images/2008_000192.jpg,"[[2, 0.9980603, 241, 62, 199, 188]]","[[2, 1, 249, 57, 192, 189]]"
data/train/images/2008_000202.jpg,"[[19, 0.9959361, 21, 42, 139, 120], [14, 0.9209547, 147, 28, 99, 305], [14, 0.991234, 244, 148, 100, 127], [14, 0.9958191, 335, 141, 124, 135], [14, 0.95533913, 59, 60, 65, 82]]","[[14, 1, 60, 58, 65, 82], [14, 1, 145, 38, 107, 295], [14, 1, 245, 152, 97, 128], [14, 1, 337, 140, 124, 166], [19, 1, 17, 39, 142, 118], [4, 1, 430, 258, 24, 64], [8, 1, 14, 169, 80, 89]]"
data/train/images/2008_000215.jpg,"[[14, 0.99687874, 3, 138, 158, 242], [14, 0.9985362, 149, 117, 174, 259], [14, 0.9950423, 310, 133, 192, 246], [14, 0.57497257, 0, 177, 31, 125]]","[[14, 1, 1, 147, 161, 228], [14, 1, 149, 119, 170, 256], [14, 1, 316, 141, 184, 234]]"
data/train/images/2008_000244.jpg,"[[19, 0.99695724, 18, -4, 455, 371]]","[[19, 1, 55, 1, 402, 374]]"
data/train/images/2008_000251.jpg,"[[0, 0.998612, 57, 24, 440, 221], [0, 0.9935827, 80, 101, 161, 66], [6, 0.9884964, 0, 227, 92, 86]]","[[0, 1, 24, 14, 386, 231], [0, 1, 213, 53, 287, 118], [0, 1, 88, 93, 132, 73], [6, 1, 1, 244, 93, 66]]"
data/train/images/2008_000255.jpg,"[[14, 0.64765227, 489, 228, 10, 27], [14, 0.9979525, 78, 284, 20, 43]]","[[14, 1, 81, 284, 19, 47]]"
data/train/images/2008_000272.jpg,"[[19, 0.9079917, 29, 175, 152, 93], [4, 0.9759083, 52, 195, 19, 76], [15, 0.8872884, 403, 293, 65, 82]]","[[4, 1, 51, 197, 23, 75]]"
data/train/images/2008_000336.jpg,"[[11, 0.99755365, 107, 111, 225, 215]]","[[11, 1, 115, 119, 202, 197]]"
data/train/images/2008_000345.jpg,"[[7, 0.9998889, 180, 87, 313, 258]]","[[7, 1, 172, 77, 328, 270]]"
data/train/images/2008_000356.jpg,"[[6, 0.88875777, 54, 201, 20, 14], [6, 0.99596196, 141, 193, 67, 43]]","[[6, 1, 141, 195, 70, 46]]"
data/train/images/2008_000382.jpg,"[[14, 0.9998193, -1, 89, 287, 412]]","[[14, 1, 1, 97, 281, 403]]"
data/train/images/2008_000502.jpg,"[[7, 0.99961805, 88, 19, 308, 383], [7, 0.9986408, 39, 184, 197, 299]]","[[7, 1, 99, 18, 298, 373], [7, 1, 38, 182, 202, 301]]"
data/train/images/2008_000511.jpg,"[[14, 0.9968086, 226, 68, 260, 298], [14, 0.9983991, 99, 105, 134, 150]]","[[14, 1, 235, 60, 265, 315], [14, 1, 76, 105, 161, 180]]"
data/train/images/2008_000516.jpg,"[[14, 0.991757, 173, 63, 207, 196], [13, 0.90039974, 194, 90, 242, 249]]","[[14, 1, 165, 71, 213, 170], [13, 1, 205, 82, 235, 265]]"
data/train/images/2008_000706.jpg,"[[14, 0.99909157, 113, 92, 130, 272], [11, 0.7750894, 304, 209, 86, 100]]","[[14, 1, 111, 87, 136, 273], [11, 1, 313, 211, 82, 101]]"
data/train/images/2008_000782.jpg,"[[13, 0.99998903, -5, 108, 251, 410]]","[[13, 1, 5, 124, 249, 376]]"
data/train/images/2008_000790.jpg,"[[15, 0.9176311, 133, 18, 129, 81], [15, 0.64921623, 175, 27, 61, 60], [8, 0.86265254, 205, 116, 60, 94], [15, 0.80154806, 23, 106, 96, 151], [15, 0.992727, 209, 252, 54, 56], [15, 0.9917099, 348, 272, 41, 58], [15, 0.7881798, 382, 308, 35, 56], [15, 0.62009096, 440, 313, 29, 46], [15, 0.908996, 469, 303, 30, 66]]","[[15, 1, 356, 6, 119, 83], [15, 1, 168, 20, 75, 68], [15, 1, 206, 259, 65, 51], [15, 1, 350, 282, 41, 51], [15, 1, 29, 113, 79, 95], [8, 1, 182, 111, 91, 114], [8, 1, 448, 134, 52, 114], [15, 1, 124, 29, 118, 170], [15, 1, 445, 250, 20, 37]]"
data/train/images/2008_000825.jpg,"[[14, 0.99990845, 86, 22, 235, 457]]","[[14, 1, 88, 35, 233, 454]]"
data/train/images/2008_000868.jpg,"[[14, 0.9791981, 40, 309, 16, 28], [14, 0.7553296, 70, 315, 10, 15], [6, 0.9711064, 0, 311, 26, 35], [14, 0.9718799, 31, 315, 19, 57], [14, 0.6874267, 106, 310, 15, 61], [14, 0.99008775, 15, 320, 21, 62], [14, 0.9929094, 48, 316, 34, 70], [14, 0.7804835, 65, 316, 21, 67], [14, 0.9000311, 81, 318, 15, 59], [14, 0.7257326, 145, 318, 20, 65], [14, 0.99808985, 152, 319, 23, 65], [14, 0.99299544, 212, 317, 22, 70], [14, 0.99446326, -1, 326, 7, 65], [14, 0.9985149, 120, 323, 31, 74], [14, 0.9902151, 175, 327, 27, 62], [14, 0.99576235, 255, 327, 23, 66], [14, 0.672677, 266, 334, 26, 53], [14, 0.8601505, 295, 321, 26, 75]]","[[14, 1, 296, 322, 30, 72], [14, 1, 27, 312, 28, 68], [14, 1, 210, 315, 30, 73], [14, 1, 257, 316, 25, 76], [14, 1, 174, 319, 22, 77], [14, 1, 152, 317, 26, 70], [14, 1, 48, 318, 35, 71], [14, 1, 85, 315, 19, 66], [14, 1, 68, 312, 14, 25], [14, 1, 41, 306, 18, 34], [14, 1, 119, 328, 29, 69], [14, 1, 13, 320, 22, 67], [14, 1, 1, 324, 7, 73], [6, 1, 1, 312, 40, 36]]"
data/train/images/2008_000917.jpg,"[[14, 0.99551564, 34, 21, 205, 377]]","[[14, 1, 51, 30, 187, 351]]"
data/train/images/2008_000992.jpg,"[[14, 0.99977237, 136, 22, 283, 309]]","[[14, 1, 136, 6, 283, 327]]"
data/train/images/2008_001009.jpg,"[[14, 0.9991764, 52, 164, 252, 321], [14, 0.9403331, 135, 59, 175, 339]]","[[14, 1, 57, 183, 249, 297], [14, 1, 122, 59, 189, 314]]"
data/train/images/2008_001020.jpg,"[[14, 0.99536276, 208, 0, 171, 135], [2, 0.99623126, 66, 74, 184, 207]]","[[2, 1, 53, 77, 190, 197], [14, 1, 208, 1, 158, 145]]"
data/train/images/2008_001056.jpg,"[[3, 0.9929093, 96, 53, 140, 158]]","[[3, 1, 124, 59, 108, 147]]"
data/train/images/2008_001081.jpg,"[[14, 0.9998101, 65, 50, 372, 281]]","[[14, 1, 85, 40, 342, 293]]"
data/train/images/2008_001158.jpg,"[[13, 0.9561963, 284, 198, 112, 99], [14, 0.9963882, 333, 170, 51, 98], [14, 0.9974885, 127, 208, 39, 50], [14, 0.8140829, 112, 216, 69, 49], [14, 0.99865806, 277, 207, 28, 62], [13, 0.98074913, 105, 226, 85, 45]]","[[13, 1, 280, 201, 117, 96], [13, 1, 108, 230, 81, 41], [14, 1, 129, 208, 36, 54], [14, 1, 329, 171, 52, 100], [14, 1, 277, 201, 24, 71]]"
data/train/images/2008_001161.jpg,"[[2, 0.9801514, 130, 243, 23, 34], [2, 0.9918125, 231, 239, 31, 41], [2, 0.595351, 318, 247, 65, 38], [2, 0.98043245, 359, 245, 24, 40]]","[[2, 1, 131, 245, 31, 33], [2, 1, 232, 241, 39, 39], [2, 1, 357, 248, 39, 39]]"
data/train/images/2008_001168.jpg,"[[13, 0.9999937, 2, 2, 474, 285]]","[[13, 1, 1, 25, 489, 271]]"
data/train/images/2008_001208.jpg,"[[6, 0.99898607, 213, 427, 164, 75], [6, 0.5058028, 193, 408, 19, 13]]","[[6, 1, 214, 432, 161, 68]]"
data/train/images/2008_001322.jpg,"[[14, 0.99963605, -1, 131, 211, 241], [14, 0.9870924, 316, 115, 186, 266], [14, 0.9977073, 192, 180, 159, 196]]","[[14, 1, 1, 134, 215, 241], [14, 1, 199, 181, 144, 194], [14, 1, 299, 126, 201, 249]]"
data/train/images/2008_001325.jpg,"[[14, 0.9989184, 296, 93, 208, 280], [14, 0.9922907, 0, 121, 247, 252]]","[[14, 1, 299, 86, 199, 289], [14, 1, 1, 121, 258, 254]]"
data/train/images/2008_001338.jpg,"[[15, 0.9411507, 209, 79, 27, 18], [15, 0.9931637, 417, 92, 27, 26], [15, 0.7393966, 387, 95, 25, 51], [8, 0.9334834, 483, 94, 17, 60], [8, 0.9704687, 175, 133, 18, 55], [14, 0.9928878, 261, 78, 103, 245], [14, 0.99826676, 185, 95, 102, 234]]","[[14, 1, 185, 97, 105, 236], [14, 1, 266, 68, 102, 265], [8, 1, 176, 144, 19, 41], [15, 1, 420, 91, 28, 29], [15, 1, 210, 84, 28, 19], [8, 1, 479, 88, 21, 71], [8, 1, 391, 93, 31, 58]]"
data/train/images/2008_001405.jpg,"[[4, 0.9923464, 173, 12, 90, 353]]","[[4, 1, 173, 15, 97, 350]]"
data/train/images/2008_001437.jpg,"[[14, 0.9918001, -2, 183, 144, 189], [14, 0.9935344, 338, 158, 119, 218], [14, 0.99807847, 109, 179, 81, 198], [14, 0.99925035, 246, 185, 96, 189], [14, 0.998371, 169, 220, 97, 155]]","[[14, 1, 338, 159, 119, 216], [14, 1, 170, 216, 97, 159], [14, 1, 1, 183, 134, 192], [14, 1, 126, 185, 60, 190], [14, 1, 247, 187, 96, 188]]"
data/train/images/2008_001503.jpg,"[[14, 0.99981236, 145, 42, 183, 226], [8, 0.9857178, 3, 41, 56, 107]]","[[14, 1, 150, 39, 182, 231], [8, 1, 1, 44, 74, 98]]"
data/train/images/2008_001520.jpg,"[[14, 0.89427185, 0, -13, 330, 537], [14, 0.99845964, 87, 212, 282, 283]]","[[14, 1, 1, 5, 380, 495], [14, 1, 100, 201, 266, 299]]"
data/train/images/2008_001536.jpg,"[[14, 0.96778554, 237, 10, 230, 324], [14, 0.993598, 65, 25, 191, 311], [14, 0.9877292, 220, 118, 118, 152], [8, 0.6271363, 463, 303, 37, 27]]","[[14, 1, 204, 108, 139, 171], [14, 1, 64, 23, 192, 310], [14, 1, 249, 19, 220, 314]]"
data/train/images/2008_001547.jpg,"[[14, 0.9327367, 218, 159, 126, 228]]","[[14, 1, 221, 151, 128, 244]]"
data/train/images/2008_001591.jpg,"[[10, 0.9992911, 5, 196, 489, 180], [14, 0.99984336, 67, 2, 192, 227], [14, 0.99969643, 312, 37, 150, 175], [14, 0.83856237, 199, 43, 19, 27], [14, 0.9952165, 325, 41, 28, 51], [14, 0.9964602, 450, 46, 37, 62], [14, 0.7750759, 487, 67, 12, 37], [14, 0.9982441, 261, 42, 63, 109], [14, 0.54201126, 473, 74, 26, 41], [14, 0.99830586, 405, 53, 68, 102], [14, 0.97997224, 194, 29, 103, 173], [14, 0.75270736, 457, 85, 41, 98], [14, 0.96105576, 1, 70, 49, 165]]","[[10, 1, 1, 194, 499, 181], [14, 1, 76, 1, 182, 239], [14, 1, 1, 74, 48, 152], [14, 1, 168, 26, 132, 180], [14, 1, 307, 41, 157, 177], [14, 1, 452, 47, 34, 58], [14, 1, 408, 50, 65, 106], [14, 1, 264, 39, 59, 130], [14, 1, 326, 42, 31, 49], [10, 1, 1, 192, 499, 183]]"
data/train/images/2008_001609.jpg,"[[14, 0.97301716, 241, 63, 189, 303], [14, 0.9855661, 23, 102, 155, 260], [8, 0.7585342, 6, 136, 167, 232], [14, 0.91676295, 383, 101, 110, 217]]","[[14, 1, 405, 95, 94, 215], [14, 1, 221, 51, 217, 324], [14, 1, 17, 90, 144, 275]]"
data/train/images/2008_001622.jpg,"[[14, 0.99972826, 60, -7, 365, 527]]","[[14, 1, 2, 1, 433, 499]]"
data/train/images/2008_001643.jpg,"[[14, 0.99992824, -4, 6, 293, 331], [13, 0.9979091, -23, 79, 550, 265]]","[[14, 1, 1, 8, 282, 325], [13, 1, 1, 126, 499, 207]]"
data/train/images/2008_001669.jpg,"[[14, 0.95862216, 163, 142, 103, 119], [14, 0.9907305, 24, 69, 119, 404], [14, 0.99408746, 123, 105, 136, 349], [14, 0.99216837, 222, 119, 101, 349], [8, 0.71401924, 319, 208, 14, 33]]","[[14, 1, 31, 67, 111, 397], [14, 1, 169, 147, 107, 119], [14, 1, 217, 125, 107, 336], [14, 1, 141, 111, 122, 342], [8, 1, 321, 213, 12, 29]]"
data/train/images/2008_001680.jpg,"[[14, 0.95374686, -3, 36, 212, 355], [14, 0.9854536, 343, 7, 149, 396], [14, 0.98968947, 248, 69, 184, 320], [14, 0.9856472, 121, 71, 148, 342]]","[[14, 1, 1, 31, 191, 369], [14, 1, 121, 74, 155, 326], [14, 1, 241, 59, 201, 341], [14, 1, 335, 10, 165, 390]]"
data/train/images/2008_001694.jpg,"[[17, 0.99926746, 122, 157, 282, 109], [8, 0.7241682, -1, 183, 89, 113], [15, 0.94151866, 427, 186, 52, 46]]","[[8, 1, 1, 183, 88, 131], [15, 1, 426, 188, 50, 45], [17, 1, 115, 162, 293, 108]]"
data/train/images/2008_001808.jpg,"[[14, 0.99866635, 86, 83, 276, 283]]","[[14, 1, 95, 68, 266, 307]]"
data/train/images/2008_001843.jpg,"[[3, 0.99864393, 331, 201, 160, 80], [3, 0.99859995, 21, 206, 192, 94], [3, 0.7740855, 38, 205, 46, 17], [3, 0.99592775, 225, 214, 39, 14]]","[[3, 1, 340, 208, 148, 73], [3, 1, 14, 204, 195, 95], [3, 1, 225, 215, 41, 14]]"
data/train/images/2008_001895.jpg,"[[11, 0.99806225, 6, 15, 321, 307], [14, 0.5542757, 8, 14, 404, 303], [14, 0.9821799, 225, 14, 265, 313]]","[[11, 1, 10, 24, 328, 309], [14, 1, 225, 1, 275, 332]]"
data/train/images/2008_001930.jpg,"[[14, 0.98822427, -3, 67, 184, 310], [14, 0.99977666, 174, 118, 207, 258], [14, 0.9963988, 224, 84, 55, 37], [14, 0.99289685, 134, 66, 70, 94]]","[[14, 1, 347, 97, 153, 203], [14, 1, 176, 119, 213, 256], [14, 1, 1, 75, 177, 300], [14, 1, 130, 67, 77, 91], [14, 1, 224, 81, 55, 43]]"
